N,Triton,Torch
256.000000,284.946971,331.265071
384.000000,295.572079,370.806901
512.000000,320.782898,358.930780
640.000000,344.904889,371.710971
768.000000,351.284504,368.853602
896.000000,357.689411,372.075655
1024.000000,360.539196,374.061604
1152.000000,336.679601,370.631984
1280.000000,340.980151,367.736522
1408.000000,352.711068,369.406819
1536.000000,349.144555,374.219333
1664.000000,360.729327,369.849258
1792.000000,357.292326,373.335267
1920.000000,369.077729,373.827792
2048.000000,366.424552,374.129141
2176.000000,347.036970,303.620536
2304.000000,349.757210,315.616943
2432.000000,348.808010,324.090960
2560.000000,354.179329,333.496982
2688.000000,355.639686,340.248885
2816.000000,357.974364,344.855863
2944.000000,363.065244,348.665219
3072.000000,368.886524,353.038402
3200.000000,368.036546,355.116285
3328.000000,371.195983,358.939919
3456.000000,370.898371,364.308518
3584.000000,370.641581,367.763496
3712.000000,370.396305,370.424492
3840.000000,372.927318,373.080758
3968.000000,373.290298,378.783709
4096.000000,374.592099,379.553808
4224.000000,377.357715,379.256890
4352.000000,377.707763,379.716843
4480.000000,377.257457,382.637320
4608.000000,377.616918,383.244792
4736.000000,377.663230,386.372185
4864.000000,377.503390,387.218259
4992.000000,377.208116,384.462094
5120.000000,377.773007,386.533898
5248.000000,377.479642,384.425578
5376.000000,377.443086,387.342409
5504.000000,377.382886,385.594279
5632.000000,376.505263,385.083447
5760.000000,377.038202,385.314032
5888.000000,376.857427,388.572806
6016.000000,377.409921,385.400263
6144.000000,378.303003,383.946592
6272.000000,376.711775,386.076605
6400.000000,379.585885,386.617840
6528.000000,376.744762,385.230559
6656.000000,378.824109,384.719893
6784.000000,378.101676,386.468439
6912.000000,377.420264,385.085377
7040.000000,377.772848,387.041066
7168.000000,378.253703,385.263828
7296.000000,377.527846,383.295460
7424.000000,378.083646,383.474641
7552.000000,378.014116,383.825289
7680.000000,378.442492,385.246213
7808.000000,378.764137,384.494435
7936.000000,378.282975,384.648267
8064.000000,378.582291,385.187639
8192.000000,379.505420,384.789824
8320.000000,378.296187,386.603237
8448.000000,378.753104,385.416756
8576.000000,379.195235,385.158692
8704.000000,379.385850,384.703315
8832.000000,378.992786,385.777894
8960.000000,379.404163,385.772528
9088.000000,380.042084,385.613427
9216.000000,379.222032,386.234579
9344.000000,379.530086,383.475718
9472.000000,379.618435,382.429774
9600.000000,379.913659,382.731379
9728.000000,380.151671,384.099871
9856.000000,379.867404,382.289501
9984.000000,379.978903,383.455710
10112.000000,379.882094,382.994188
10240.000000,379.978709,384.110871
10368.000000,380.332090,384.263650
10496.000000,380.351762,382.795977
10624.000000,380.043188,382.986808
10752.000000,381.080336,383.395346
10880.000000,379.999018,384.476516
11008.000000,380.758697,383.609408
11136.000000,380.128108,383.686013
11264.000000,381.154243,383.622142
11392.000000,380.530501,383.611464
11520.000000,381.394412,383.984678
11648.000000,380.516110,383.349598
11776.000000,380.889094,383.788561
11904.000000,380.646877,384.367898
12032.000000,380.951586,384.647965
12160.000000,381.448516,384.912026
12288.000000,381.814745,382.623722
12416.000000,381.734095,381.140036
12544.000000,380.528158,381.281633
12672.000000,380.520840,380.728159
