SEQ_LEN,torch.nn.functional.scaled_dot_product_attention,our flash_attention
512.000000,0.860221,0.306724
1024.000000,1.211313,0.319995
1536.000000,1.114938,0.325384
2048.000000,1.149895,0.327478
2560.000000,1.110652,0.329177
3072.000000,1.107866,0.330196
3584.000000,1.124238,0.330833
4096.000000,1.087677,0.331611
4608.000000,1.041837,0.332140
5120.000000,1.031525,0.332474
5632.000000,0.991640,0.332455
6144.000000,0.999719,0.332534
6656.000000,0.987599,0.331951
7168.000000,1.010394,0.332453
7680.000000,1.014685,0.333027
8192.000000,1.008634,0.333143
