N,Pytorch,Triton
1024.000000,143.143795,114.975440
1536.000000,117.249577,131.671838
2048.000000,128.575490,120.489044
2560.000000,91.950237,120.710974
3072.000000,89.040118,120.912033
3584.000000,88.119861,121.042739
4096.000000,115.272469,121.402776
4608.000000,84.516131,122.177901
5120.000000,81.702125,122.470492
5632.000000,83.966686,122.677864
6144.000000,80.467122,122.688295
6656.000000,83.636969,122.714811
7168.000000,82.255383,122.704711
7680.000000,80.306617,122.716376
8192.000000,118.726880,122.693088
8704.000000,80.915495,122.735602
9216.000000,80.645906,122.953646
9728.000000,80.137983,123.088521
10240.000000,79.887040,122.920334
10752.000000,79.612195,123.187049
11264.000000,80.125522,123.322315
11776.000000,79.940674,123.201395
12288.000000,77.181890,123.322387
12800.000000,78.569343,123.272929
13312.000000,80.347180,123.249597
13824.000000,78.543714,123.455841
14336.000000,77.743598,123.357735
14848.000000,79.646197,123.305195
15360.000000,77.506440,123.505891
15872.000000,79.123300,123.464963
