M,N,K,Pytorch,Triton
256.000000,256.000000,256.000000,6.144000,6.144000
384.000000,384.000000,384.000000,13.824000,16.588800
512.000000,512.000000,512.000000,31.457281,28.086857
640.000000,640.000000,640.000000,31.999999,38.400001
768.000000,768.000000,768.000000,47.396571,51.042462
896.000000,896.000000,896.000000,50.176000,52.684801
1024.000000,1024.000000,1024.000000,56.173714,56.173714
1152.000000,1152.000000,1152.000000,49.766399,57.422771
1280.000000,1280.000000,1280.000000,61.440002,61.440002
1408.000000,1408.000000,1408.000000,57.589181,63.888000
1536.000000,1536.000000,1536.000000,68.495690,68.940470
1664.000000,1664.000000,1664.000000,57.196473,66.168472
1792.000000,1792.000000,1792.000000,64.594389,68.672650
1920.000000,1920.000000,1920.000000,64.698909,67.764705
2048.000000,2048.000000,2048.000000,65.196435,68.015742
2176.000000,2176.000000,2176.000000,65.478249,68.292925
2304.000000,2304.000000,2304.000000,73.126138,73.425837
2432.000000,2432.000000,2432.000000,67.534772,69.383324
2560.000000,2560.000000,2560.000000,68.792160,70.367929
2688.000000,2688.000000,2688.000000,69.901206,71.481889
2816.000000,2816.000000,2816.000000,71.576930,72.771205
2944.000000,2944.000000,2944.000000,69.668263,72.859695
3072.000000,3072.000000,3072.000000,74.602241,74.406184
3200.000000,3200.000000,3200.000000,68.891280,73.003802
3328.000000,3328.000000,3328.000000,74.166856,73.862481
3456.000000,3456.000000,3456.000000,72.004302,72.282031
3584.000000,3584.000000,3584.000000,73.888510,73.791871
3712.000000,3712.000000,3712.000000,68.204833,73.292252
3840.000000,3840.000000,3840.000000,74.758002,74.156458
3968.000000,3968.000000,3968.000000,72.346209,73.493638
4096.000000,4096.000000,4096.000000,73.718999,73.129892
