size,Triton,Torch
4096.000000,10.741259,9.600000
8192.000000,19.200000,19.200000
16384.000000,38.400001,38.400001
32768.000000,63.999998,63.999998
65536.000000,107.553610,108.264319
131072.000000,153.600004,143.929718
262144.000000,192.752947,192.000000
524288.000000,186.181817,189.228105
1048576.000000,225.986210,227.555555
2097152.000000,231.201525,229.080101
4194304.000000,244.537310,244.537310
8388608.000000,251.025658,251.416874
16777216.000000,255.003894,256.098992
33554432.000000,258.524645,257.632751
67108864.000000,259.390671,259.120917
134217728.000000,261.860319,260.385719
